sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
60,2.25,2,0.46,-11.015625,8.201052335838632,-15.391892136737331,7.34988965931825,-12.502129213397012,7.185061173195461,-12.566972524825355,7.455422444817042,1.0930883446941069,-0.2864067109141315,-0.014166527235081494
61,2.2875,2,0.46,-10.486552734374996,8.446881810867517,-14.904914744268616,7.235358179691604,-11.914526799397008,7.071385721578035,-12.035313430009948,7.423802988967802,0.7261962802844599,-0.6609769140401285,-0.2901724988091523
62,2.3249999999999997,2,0.46,-9.954140625000008,8.679362300021921,-14.412764394309159,7.155125267532848,-11.346688449125466,7.010843788574518,-11.53124123907217,7.4434391939949585,0.2989066937299243,-1.0082462329533861,-0.537953980919159
63,2.3625,2,0.46,-9.418564453125,8.884902760452606,-13.915486718006147,7.113217035529442,-10.79968890143164,7.008682354541688,-11.055188782915982,7.518746350413991,-0.1910302042142884,-1.3163710669309385,-0.7506043805243258
64,2.4,2,0.46,-8.880000000000003,9.049598618232316,-13.413138823922687,7.112281050491168,-10.27395972480099,7.068666159456365,-10.606504658240649,7.653118232251854,-0.7406313572095744,-1.5688265172477094,-0.9197290739753662
65,2.4375,2,0.46,-8.338623046875,9.159684312570718,-12.905789040320746,7.153505311230711,-9.769576541674201,7.19220676352081,-10.183940476216616,7.847534693682439,-1.3332771584349512,-1.7429207384961871,-1.035127824398218
66,2.475,2,0.46,-7.794609374999993,9.202004662673776,-12.393518834220457,7.2366159921662465,-9.286406416673625,7.377924040602945,-9.785902401698806,8.099613612023981,-1.9290602011478262,-1.812259474763162,-1.0866532808697305
67,2.5124999999999997,2,0.46,-7.248134765625,9.164487971526015,-11.87643240456765,7.359735684253775,-8.824200371295237,7.6213438501922,-9.410564081867069,8.403906496016367,-2.4632534933703396,-1.7573658918849973,-1.0691372088662265
68,2.55,2,0.46,-6.699375000000007,9.036602841461644,-11.35466429537043,7.519095307383507,-8.382638465121891,7.915018441718372,-9.055962156400224,8.752402981023968,-2.8651695820912204,-1.5815720764714227,-0.9894742616910515
69,2.5875,2,0.46,-6.148505859375,8.809780489434981,-10.828374287548275,7.7088912967702585,-7.961354842097374,8.249059401924923,-8.720067925861889,9.134915510600035,-3.091692794045964,-1.3174963011448622,-0.86859003260243
70,2.625,-1,nan,-5.595703125,8.477784962662598,-10.2977393397602,7.921387922511067,-7.559969581573113,8.61156850155434,-8.400831614133326,9.539338620049847,-3.1454647175583363,-1.0135918643942459,-0.7333903134821548
