scenario_id,scope,plant_id,manifest_id,value,proposed,baseline
delay_2,demand_conflict,S26001,ellipse--demand_conflict,-37.13008466403408,0.31440522252509995,0.22927516109640445
delay_2,demand_conflict,S26001,figure_eight--demand_conflict,-4.654131146775543,0.5851465939012683,0.5591242194544721
delay_2,demand_conflict,S26001,harmonic_loop--demand_conflict,27.24305461048308,0.5616143651205128,0.7719048155661469
delay_2,demand_conflict,S26001,rounded_square--demand_conflict,3.3056525160002788,0.6754179678533053,0.6985082224843273
delay_2,demand_conflict,S26001,s_curve--demand_conflict,14.542469046201175,0.43536110521856763,0.5094473247231286
delay_2,demand_conflict,S26002,ellipse--demand_conflict,-45.9199825541132,0.30803205733416655,0.21109655575783492
delay_2,demand_conflict,S26002,figure_eight--demand_conflict,-4.478861995097157,0.5394610162854379,0.5163350805933864
delay_2,demand_conflict,S26002,harmonic_loop--demand_conflict,24.962386076887917,0.5725589131138025,0.7630292105243108
delay_2,demand_conflict,S26002,rounded_square--demand_conflict,3.0565292510726167,0.6674696928406806,0.6885143348842456
delay_2,demand_conflict,S26002,s_curve--demand_conflict,13.756820942872555,0.42135495688067653,0.48856612370651503
delay_2,demand_conflict,S26003,ellipse--demand_conflict,-40.456027232030166,0.313324245794131,0.2230763976233832
delay_2,demand_conflict,S26003,figure_eight--demand_conflict,-14.062907295690419,0.3957420513153462,0.3469506965042073
delay_2,demand_conflict,S26003,harmonic_loop--demand_conflict,12.063299182610606,0.4792950159993361,0.5450454833353903
delay_2,demand_conflict,S26003,rounded_square--demand_conflict,-5.0004554124712755,0.4166458233755089,0.3968038250299078
delay_2,demand_conflict,S26003,s_curve--demand_conflict,-13.305120797665257,0.3547374478735814,0.3130815671668134
delay_2,demand_conflict,S26004,ellipse--demand_conflict,-37.01436902261279,0.3117480965615652,0.22752949109309437
delay_2,demand_conflict,S26004,figure_eight--demand_conflict,-2.688922988367115,0.6003629641962298,0.58464238081866
delay_2,demand_conflict,S26004,harmonic_loop--demand_conflict,20.812574967090605,0.5884566174108334,0.743118768120415
delay_2,demand_conflict,S26004,rounded_square--demand_conflict,0.4890529335071251,0.6746834037674896,0.6779991786397817
delay_2,demand_conflict,S26004,s_curve--demand_conflict,11.08706070757903,0.435419323335818,0.48971423822104326
delay_2,demand_conflict,S26005,ellipse--demand_conflict,-21.13918912911251,0.31924537380312035,0.26353600028052226
delay_2,demand_conflict,S26005,figure_eight--demand_conflict,-5.702890916842689,0.663130653048994,0.6273533744414655
delay_2,demand_conflict,S26005,harmonic_loop--demand_conflict,12.022812767064394,0.652427584917902,0.7415872289602545
delay_2,demand_conflict,S26005,rounded_square--demand_conflict,-4.0238734503676366,0.6714031953021355,0.6454318350512862
delay_2,demand_conflict,S26005,s_curve--demand_conflict,-4.185599295817018,0.5131098828452477,0.4924959747924095
delay_2,demand_conflict,S26006,ellipse--demand_conflict,-64.54321915661095,0.27135571772040656,0.16491455503987212
delay_2,demand_conflict,S26006,figure_eight--demand_conflict,-18.391588294160382,0.280185561118273,0.23666002387104812
delay_2,demand_conflict,S26006,harmonic_loop--demand_conflict,-14.300369646814046,0.46346151786834844,0.40547683205263085
delay_2,demand_conflict,S26006,rounded_square--demand_conflict,-10.48627041793644,0.5369868999800836,0.4860213834251289
